loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_default
9600,9600,36,12.99,323.42,C,C1,Unknown,RENT,21900,Verified,01-05-2014,Fully Paid,debt_consolidation,FL,10.03,0,685,689,13,1,4509,38.9,20,0
4000,4000,36,6.68,122.93,A,A3,4 years,MORTGAGE,83000,Not Verified,01-04-2015,Fully Paid,major_purchase,FL,19.53,0,780,784,16,0,1564,17.2,25,0
6025,6025,36,10.91,197,B,B4,10+ years,RENT,52000,Not Verified,01-12-2017,Fully Paid,debt_consolidation,MA,9.16,1,740,744,11,0,2706,12.8,25,0
20000,20000,36,9.49,640.57,B,B2,10+ years,MORTGAGE,100000,Not Verified,01-08-2016,Fully Paid,debt_consolidation,NV,16.43,1,695,699,15,0,20440,56.3,32,0
1000,1000,36,8.18,31.42,B,B1,Unknown,RENT,23000,Verified,01-04-2015,Fully Paid,debt_consolidation,OH,16.34,1,680,684,6,0,3237,77.1,38,0
24575,24575,60,14.49,578.08,C,C4,5 years,RENT,120000,Source Verified,01-08-2016,Fully Paid,credit_card,CA,17.4,0,680,684,14,0,18320,80,21,0
7000,7000,36,6.99,216.11,A,A2,5 years,RENT,41000,Source Verified,01-10-2016,Fully Paid,house,OH,16.54,0,755,759,13,0,6140,15.4,22,0
16000,16000,36,7.07,494.55,A,A2,8 years,MORTGAGE,50000,Not Verified,01-07-2017,Fully Paid,debt_consolidation,MD,22.19,0,775,779,7,0,5180,20.3,9,0
10000,10000,36,14.31,343.29,C,C4,7 years,OWN,78000,Not Verified,01-01-2015,Fully Paid,debt_consolidation,CA,22.95,0,670,674,16,0,48407,83.9,32,0
16000,16000,60,10.99,347.8,B,B3,2 years,MORTGAGE,73000,Not Verified,01-09-2014,Fully Paid,debt_consolidation,MI,18.71,0,805,809,12,0,4190,5.8,35,0
16000,16000,36,12.99,539.03,C,C2,10+ years,MORTGAGE,97000,Source Verified,01-04-2016,Fully Paid,credit_card,IN,8.73,0,695,699,25,0,12215,29.1,46,0
12000,12000,36,19.99,445.91,D,D4,5 years,RENT,80000,Verified,01-08-2016,Fully Paid,small_business,CA,4.79,0,680,684,3,1,37,2.6,6,0
12000,12000,60,13.99,279.16,C,C4,4 years,MORTGAGE,55000,Verified,01-02-2015,Charged Off,debt_consolidation,OH,21.56,0,695,699,16,0,17609,38.5,25,1
8000,8000,36,12.69,268.36,C,C2,6 years,RENT,40500,Source Verified,01-06-2015,Fully Paid,credit_card,PA,12.68,0,700,704,7,0,8612,49.5,9,0
35000,35000,60,22.47,976.04,E,E5,1 year,OWN,135000,Source Verified,01-06-2013,Fully Paid,credit_card,TX,14.93,0,685,689,14,0,12148,94.9,49,0
12375,12375,60,24.5,359.61,F,F3,10+ years,RENT,45000,Verified,01-10-2013,Charged Off,debt_consolidation,OR,15.87,0,670,674,13,1,10067,67.6,23,1
6000,6000,36,11.14,196.84,B,B2,2 years,MORTGAGE,88000,Not Verified,01-01-2013,Fully Paid,debt_consolidation,NY,17.37,0,680,684,9,0,17343,91.3,19,0
8000,8000,36,16.02,281.34,C,C5,10+ years,MORTGAGE,88000,Source Verified,01-07-2017,Fully Paid,debt_consolidation,GA,28.6,0,700,704,20,0,5333,25.8,38,0
18000,18000,60,13.98,418.65,C,C3,10+ years,OWN,60000,Not Verified,01-07-2014,Charged Off,debt_consolidation,TX,20.52,0,735,739,13,0,16018,52.2,46,1
4000,4000,36,14.08,136.87,C,C3,4 years,MORTGAGE,43200,Source Verified,01-08-2017,Fully Paid,debt_consolidation,PA,15.17,3,685,689,10,0,2968,74.2,18,0
6000,6000,36,13.99,205.04,C,C4,10+ years,RENT,37000,Source Verified,01-10-2015,Fully Paid,other,AL,13.95,0,670,674,14,1,7707,64.8,21,0
3925,3925,36,12.79,131.86,C,C1,10+ years,MORTGAGE,50000,Not Verified,01-07-2016,Fully Paid,car,VA,4.3,1,665,669,12,1,666,4,33,0
8000,8000,36,15.99,281.22,C,C5,10+ years,RENT,50000,Verified,01-10-2016,Fully Paid,debt_consolidation,IN,24.48,0,680,684,6,3,10788,81.1,14,0
14500,14500,36,13.33,490.88,C,C3,2 years,MORTGAGE,65000,Verified,01-08-2015,Fully Paid,debt_consolidation,OR,17.13,0,660,664,10,0,13493,87.1,22,0
20000,20000,36,12.29,667.06,C,C1,10+ years,MORTGAGE,80000,Not Verified,01-08-2015,Charged Off,debt_consolidation,CA,27.9,1,695,699,7,0,20709,82.2,18,1
21000,21000,36,12.29,700.42,C,C1,10+ years,RENT,67000,Verified,01-08-2015,Fully Paid,renewable_energy,AL,17.38,0,695,699,8,0,14929,58.5,21,0
28000,28000,36,5.32,843.22,A,A1,10+ years,MORTGAGE,95000,Not Verified,01-09-2015,Fully Paid,credit_card,CA,15.9,0,770,774,10,0,84415,52.3,27,0
15000,15000,36,6.03,456.54,A,A1,10+ years,MORTGAGE,130000,Not Verified,01-10-2013,Fully Paid,debt_consolidation,FL,20.23,0,775,779,13,0,15631,34.5,25,0
15000,15000,36,12.74,503.54,C,C1,10+ years,MORTGAGE,70000,Verified,01-03-2017,Charged Off,credit_card,MD,28.84,0,715,719,24,1,14943,37.4,35,1
14400,14400,36,10.41,467.43,B,B3,10+ years,MORTGAGE,97000,Source Verified,01-03-2018,Fully Paid,debt_consolidation,KY,29.94,0,700,704,20,0,40317,70.9,36,0
17600,17600,36,20.2,655.88,E,E3,5 years,MORTGAGE,44200,Source Verified,01-11-2014,Fully Paid,debt_consolidation,AL,17.24,0,670,674,10,0,4786,59.8,14,0
18000,18000,60,14.65,424.92,C,C5,3 years,RENT,60000,Not Verified,01-08-2015,Fully Paid,debt_consolidation,MN,10.91,0,700,704,10,0,6548,14.9,17,0
11200,11200,60,13.99,260.55,C,C4,10+ years,MORTGAGE,44000,Source Verified,01-06-2015,Charged Off,debt_consolidation,PA,7.88,0,710,714,7,0,5565,74.2,14,1
20000,20000,36,15.99,703.05,C,C5,7 years,MORTGAGE,37000,Verified,01-03-2017,Fully Paid,debt_consolidation,CO,40.84,0,685,689,11,0,13761,99,15,0
8400,8400,36,13.59,285.43,C,C2,5 years,RENT,70000,Verified,01-07-2017,Charged Off,debt_consolidation,CA,33.58,0,680,684,15,1,15904,61.9,16,1
7000,7000,36,6.39,214.2,A,A2,Unknown,RENT,81000,Source Verified,01-05-2015,Fully Paid,debt_consolidation,SC,22.1,0,740,744,15,0,4104,17.5,28,0
7000,7000,36,9.91,225.58,B,B1,5 years,MORTGAGE,156000,Verified,01-10-2011,Fully Paid,debt_consolidation,CA,6.42,0,700,704,8,0,4082,72.5,10,0
8000,8000,36,10.49,259.99,B,B2,10+ years,MORTGAGE,60000,Source Verified,01-03-2017,Fully Paid,home_improvement,OH,13.86,1,710,714,8,0,21009,82.1,29,0
16000,16000,60,15.8,387.4,C,C3,9 years,MORTGAGE,62200,Source Verified,01-03-2013,Fully Paid,debt_consolidation,WY,21.2,0,700,704,9,0,19997,78,29,0
10000,10000,36,12.49,334.49,B,B5,5 years,RENT,55000,Not Verified,01-10-2014,Fully Paid,debt_consolidation,OR,14.12,3,660,664,9,0,8367,73.4,27,0
12225,12225,60,28.34,383.15,G,G3,10+ years,MORTGAGE,50000,Source Verified,01-04-2016,Charged Off,debt_consolidation,LA,8.45,0,680,684,8,0,10125,61.7,11,1
18000,18000,36,6.39,550.79,A,A2,10+ years,OWN,92000,Verified,01-05-2015,Fully Paid,debt_consolidation,FL,15.94,0,755,759,12,0,12006,28.9,27,0
25000,25000,60,24.99,733.64,E,E4,2 years,RENT,74899,Not Verified,01-10-2016,Fully Paid,debt_consolidation,FL,31.41,0,660,664,16,0,20000,57.6,21,0
